date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-09-11 | 21
2012-09-11 | 21.
2012-09-11 | .21
2012-09-11 | a.12
2012-09-11 | a21
2012-09-11 | 21.0.
2012-09-11 | 21.1.1
20a2-01-11 | 1
| 3
2001-42-42 3
 |
date | value
202010201        |     1
2019-- | 1
2019-01- | 1
2019-01-123 | 1
 | 0000001
1999-06-21 | 3
2023-02-29 | 2
2024-02-29 | 2
2023-04-31 | 2
2023-05-31 | 2
2010-08-20 | a
2010-08-20 || fadsfsaf fdsafaf a 
